nitrate_mu_mol_kg_pow_minus_1,predict
10.48,10.845521448770898
20.27,21.90597090184996
26.79,30.300144298570572
10.04,9.986182192661218
16.19,20.775822987397405
17.62,17.29243269413334
16.31,20.432295151062085
16.94,16.41058905200349
5.53,3.3783545294347093
0.13,0.9136395241376576
9.32,9.600035674400234
9.78,10.379166532049476
18.21,21.50233877402286
1.86,1.0988942445726941
15.17,15.380742985015283
25.8,25.00511842827181
0.23,1.029991380385459
16.94,16.13387865482338
7.54,7.507659864669046
32.87,34.563620608969465
18.25,21.023599338782923
5.46,5.618961244674497
17.2,17.804310704470247
10.06,11.185817612197251
16.54,16.055991059238018
23.77,24.864905287234386
0.26,0.8972451752515624
9.36,8.86499430998746
22.06,22.55969325174122
16.26,15.84383779613207
1.82,3.3982239007832646
0.4,0.9078869243703931
0.26,0.8239630083660661
6.06,6.754217769304969
18.57,17.006629409589003
5.78,4.217075830468091
6.29,6.619579651933502
20.09,21.79216451806463
0.17,1.0890761148315793
16.96,16.613889874300675
8.75,8.892815912323954
16.94,18.58515385420363
20.06,21.744191966878834
2.3,1.1210812391576859
10.07,9.572965708849246
32.43,34.6184551416591
9.75,10.269579248041016
19.12,19.08065851564117
0.05,0.8190506501129953
12.7,15.26158255091111
16.58,19.539554791951407
3.5,4.144741800812791
16.63,18.358031494324795
1.5,3.3858156326283755
23.25,24.334804795681688
18.59,21.148011637258733
6.04,7.114857331489611
5.89,4.583825964369808
9.95,10.407963548968453
4.8,2.4895798199766084
0.17,0.8470613565248737
15.12,15.332881624468337
9.74,10.701447874299562
16.68,18.160080683135764
18.36,19.828876870733062
9.32,8.984483981611563
21.61,20.728520799285704
17.06,17.508576734792477
2.78,2.9695699638114874
2.65,1.5210927433503958
20.02,21.750591360802858
22.97,18.376159392454362
10.32,9.722058190333223
19.06,19.47685081510918
22.22,18.95745599949369
16.47,16.002485220209053
12.88,15.030846285241967
9.83,10.113728062387459
28.42,27.795147116716084
21.97,21.959525417305787
16.77,16.42393109100304
24.4,23.288126768211917
11.45,14.506252650856435
11.28,12.477522738347076
16.73,18.769699687155715
5.26,5.294113083398056
22.81,22.337946781124582
9.55,10.126257771816451
2.74,2.8110710827278034
0.12,0.8249266196443479
1.65,2.68354692879125
18.26,16.725714025016533
4.03,5.651448213042063
18.15,21.059021619226762
8.18,7.538250819249325
5.31,5.6223691481616385
5.35,5.143793055342566
9.13,9.600737028392217
2.19,1.6738653669392214
8.52,7.446215947238434
0.61,0.8840210276766367
18.18,17.92808523588245
0.13,0.8893416776925953
18.11,16.331146083460908
21.93,23.42766261233728
1.34,1.4354318352179298
5.68,3.3976399989046246
17.31,20.812198149543434
16.97,17.684576088459167
20.1,16.728076348077543
9.93,9.347866179873506
6.44,5.461903065535922
3.66,4.255280805532062
5.74,6.478250382396441
1.43,3.338839508618797
9.3,9.630490551786547
11.31,13.207082834828345
10.81,13.240608288146353
16.53,20.95420012965201
16.7,16.40880549740453
20.22,19.078849994733865
8.74,9.666237650258498
2.46,1.916161951250805
10.28,10.748048219552782
20.96,21.420292677236056
15.17,14.4669397020152
22.7,22.277353857056745
9.98,10.46487740162682
16.58,15.962965198599179
9.78,10.436365560411662
18.87,19.847234282242443
12.55,15.461205138145484
9.73,8.68540043171676
23.18,21.658420937933865
6.85,5.367805867815008
0.03,0.8576761850351815
16.52,16.507195644685588
16.24,15.871136334908972
24.92,23.4239874076336
9.89,10.25438866720899
0.81,2.012318190988255
16.61,19.812831012721727
9.73,10.296601049526554
5.34,6.027868038509644
1.3,1.7556541277667055
9.6,9.59581619705336
7.3,7.567754027943792
17.55,20.37887093823177
9.71,9.608127761399484
9.39,9.712428849629001
7.86,7.805347680340823
8.16,7.3089155958299035
7.83,7.6281761889111275
17.08,17.092675279326023
16.86,16.694725538298933
17.68,17.295122871889138
8.36,8.194416805024554
5.74,6.324193608506453
28.9,29.061475519837
17.21,17.26499837808004
3.84,5.31823273062667
5.16,6.620377518800631
5.47,2.0021357458774087
1.67,0.8668776174178063
8.51,8.956774008238849
23.84,21.533260304880002
8.68,8.88762827088498
12.44,8.298948478218108
9.54,10.615956708328047
0.56,1.6668503991150665
21.65,17.934083687256518
16.86,16.212163506048594
2.46,2.7476725892617395
1.27,0.8073843237538068
12.92,12.211517266320309
4.6,2.8600081770441363
4.4,3.1196812026860883
6.0,6.61258987778653
25.64,25.75464601642453
2.41,0.8674139650670636
26.9,25.828891333361163
4.9,1.7621247265671371
29.37,29.608976779681637
0.31,0.9792477684189613
0.07,0.8476402175269211
19.61,22.26237809531729
24.22,24.36129038039428
3.83,4.606253156038582
1.64,2.813492643718906
11.07,9.543813308424635
23.01,20.40032466916144
0.1,0.8121409998785545
2.45,2.279837257345733
4.41,5.920110500234627
13.53,13.224710882245086
0.74,1.806089504587245
5.45,5.935389217646057
4.57,5.260296170645545
11.42,9.981341239396608
8.65,8.012378975807248
10.04,10.992663695477367
16.19,20.71252731748082
2.57,2.9658019291855204
9.84,10.07357300189446
11.88,14.517298836708527
23.96,21.640472723859734
0.71,3.6223512660644612
16.84,17.4197012192449
12.63,15.283272063788127
22.5,23.117747399097976
1.37,1.2931372438096496
3.74,4.187384960282427
10.11,9.512908333070085
8.76,6.180349977185073
0.96,1.3431711096772823
1.45,3.214035648528176
1.29,3.4821938094285354
9.34,9.797714872276437
19.16,19.381312732673862
7.97,3.416844966505984
31.21,33.544079224001436
31.46,33.48135450979062
20.6,22.261565096451072
7.1,6.6848905242191
2.8,2.4513247222079535
5.2,6.012382456692147
9.67,9.957932428587906
12.52,14.780022881272263
17.62,20.499017754513332
4.45,4.981773609539298
1.76,2.5051241312169577
0.01,0.8090698282369608
27.71,27.25559493101417
6.15,5.841124007480099
11.17,14.450269303665335
16.85,16.41184093133138
3.18,4.848251571827098
16.88,14.256153523748807
16.8,20.840755124396644
16.49,15.638212583484847
8.36,8.61225123693611
16.33,17.042062067189725
7.01,4.335435114819903
10.0,9.761858692557663
13.81,15.741461620591071
18.13,21.72327931086227
16.82,16.254404121118366
18.56,20.958659291883023
1.21,2.004484069836094
23.07,18.944795405992778
16.9,16.890517352474305
0.88,1.093208606277944
9.1,1.6397075495815834
17.75,20.72001485672265
21.62,23.155830320757023
16.42,16.114978183416667
4.05,3.0812706992913785
2.49,1.8854771565568047
9.62,10.190298633828338
6.15,3.1527201303649637
16.86,18.617436222200872
16.81,20.74190726108924
10.39,11.377698914796119
7.07,5.126106103151163
16.82,16.0436301533579
21.42,19.801545894716305
11.57,14.402760517287367
19.08,20.728120490808898
4.46,3.8692351129968925
9.37,9.913557640712147
3.81,2.5002574623217253
9.95,9.224617102996987
16.83,18.11114706690628
19.19,19.386841586918386
5.81,6.213189196022191
8.18,8.234527594707803
0.15,0.94312402937169
0.4,2.791665799355499
16.3,15.879030752745937
17.64,17.433491203903284
18.16,23.118433719155547
2.55,1.2549711509364343
16.59,18.50162430470197
1.04,2.790866315441413
2.99,3.3840822750799937
17.83,17.495636700466783
9.94,11.789213235082872
22.12,21.785857374044202
20.46,18.79064100335335
23.69,20.944284234316562
0.13,1.0388645021424683
16.54,19.049301958493306
0.04,0.8081468720470024
16.47,15.851390958480184
23.07,20.158845547082272
4.23,8.586825957006855
1.45,0.9109852895804877
5.0,1.7836586083839236
1.83,1.6634337541734858
1.16,1.4647648505726565
2.19,0.8750838783047925
7.94,5.577741487172888
7.57,9.473536992093893
14.61,14.69959700962399
24.04,25.21907139464053
16.81,19.62766226001966
16.82,16.658294013936224
17.2,17.138836553805277
2.48,0.9808740778383473
17.41,22.46258071264197
5.96,4.333003646412992
10.57,9.076859813797892
16.69,19.991400503009974
0.12,0.8185685450919671
6.09,4.713247575114072
20.29,17.02762003118365
0.14,0.8988897242718625
1.86,2.7099478862529995
9.66,10.941203828374169
1.49,0.8164803551106594
0.18,0.8562196335162291
24.24,21.075810064247445
25.11,25.11779883537136
1.83,2.9934010448593877
16.38,16.01017113770157
1.1,1.6305319758043844
13.43,13.562861710304801
1.8,2.3547020214948446
23.4,21.29983530005454
3.29,3.0814554936282246
11.36,10.304612013407258
16.85,18.118186082219538
9.56,10.138415665148726
5.07,8.242434569394572
18.6,20.410651924152027
5.45,5.638499563851084
2.67,1.5390774554595978
9.9,10.259337211953227
31.84,33.93901158052509
23.97,23.77221060641841
10.85,13.800527541325895
8.44,7.19430901537086
1.48,3.0566470218974366
0.78,0.8285538340494831
0.11,0.827517484721966
5.56,6.305466334378477
10.16,9.424011646689308
0.2,0.822983233283848
17.13,17.416175684328767
18.1,21.61081396740701
0.02,0.8151721227612967
11.49,9.103687489003379
19.99,21.743890851022872
16.83,18.184267896291036
33.47,34.76241467976057
16.43,19.662603867725004
0.22,1.6536242707361808
1.17,1.6063915789598902
5.35,5.938928377556798
21.16,17.30511659240967
5.36,5.724542153749827
5.98,4.294669456577478
0.21,0.8311713809436867
18.28,20.836001910100993
0.17,1.0411466085795062
23.18,22.620436843496485
0.71,2.5683332456872527
1.24,1.5131843057560275
16.24,16.11643701503994
8.38,9.042078409137375
19.6,19.694910683307448
5.81,3.8395885754110193
18.08,17.673491554401892
0.56,0.9707598125628767
5.93,5.059180646230242
17.3,17.391890965793788
6.95,7.411422577551167
5.16,3.138021315659204
17.9,17.948955971781032
17.83,22.21284021853326
2.01,3.2625174326989743
11.42,12.839064571392068
14.76,12.972466960905036
17.29,16.091311883774782
16.28,15.541698968886573
8.08,10.079388284809816
16.42,16.756220611929116
4.78,6.709824557730098
0.06,2.5753450718304833
17.71,20.42420830038059
23.87,23.745361711441802
10.24,9.771092325434457
1.17,1.520341134956258
1.28,1.8192314694437588
7.85,5.826112983491541
9.83,10.110484352526445
22.7,21.81641669616234
9.91,11.514969212111032
11.25,8.906029590188956
28.16,28.023187026544427
8.94,8.890099715427347
5.21,5.526646456107969
18.12,21.6278244229935
0.15,0.825183541845135
14.46,14.805419661863262
17.84,17.62808899645001
10.15,12.527447844946444
22.9,17.877166413554537
9.04,9.581697308390718
